,plan_repeat,plan_done,plan_skipped,plan_xgrid,plan_ygrid,log,reboot,fault,c,injector_P,injector_D,stage_x,stage_y
7903,4,True,False,8,3,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,4.044719387755102
7904,4,True,False,8,4,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,4.32634918367347
7905,4,True,False,8,5,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,4.607978979591836
7906,4,True,False,8,6,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,4.8896087755102045
7907,4,True,False,8,7,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,5.171238571428571
7908,4,True,False,8,8,FlagBegin;0xdbbdfbde8010dd6832c271a3c5ad1e2d;FlagEnd,False,True,0xdbbdfbde8010dd6832c271a3c5ad1e2d,400,2e-07,12.779588163265306,5.452868367346939
7909,4,True,False,8,9,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,5.734498163265306
7910,4,True,False,8,10,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,6.016127959183674
7911,4,True,False,8,11,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,6.29775775510204
7912,4,True,False,8,12,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,6.5793875510204085
7913,4,True,False,8,13,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,6.861017346938775
7914,4,True,False,8,14,,True,False,,400,2e-07,12.779588163265306,7.142647142857143
7915,4,True,False,8,15,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;Fl,False,True,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,7.42427693877551
7916,4,True,False,8,16,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,7.705906734693878
7917,4,True,False,8,17,FlagBegin;0x4684164fceb0d13a69758fa1d1844de4;FlagEnd,False,True,0x4684164fceb0d13a69758fa1d1844de4,400,2e-07,12.779588163265306,7.987536530612244
7918,4,True,False,8,18,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,8.269166326530613
7919,4,True,False,8,19,,True,False,,400,2e-07,12.779588163265306,8.550796122448979
7920,4,True,False,8,20,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,8.832425918367347
7921,4,True,False,8,21,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,9.114055714285714
7922,4,True,False,8,22,FlagBegin;0xa8c18d662ff782a23275d79e5e0e4da9;FlagEnd,False,True,0xa8c18d662ff782a23275d79e5e0e4da9,400,2e-07,12.779588163265306,9.395685510204082
7923,4,True,False,8,23,,True,False,,400,2e-07,12.779588163265306,9.677315306122448
7924,4,True,False,8,24,,True,False,,400,2e-07,12.779588163265306,9.958945102040817
7925,4,True,False,8,25,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,10.240574897959183
7926,4,True,False,8,26,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,10.522204693877551
7927,4,True,False,8,27,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,10.803834489795918
7928,4,True,False,8,28,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,11.085464285714286
7929,4,True,False,8,29,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,11.367094081632652
7930,4,True,False,8,30,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,11.64872387755102
7931,4,True,False,8,31,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,11.930353673469389
7932,4,True,False,8,32,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,12.211983469387755
7933,4,True,False,8,33,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,12.493613265306122
7934,4,True,False,8,34,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,12.77524306122449
7935,4,True,False,8,35,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,13.056872857142858
7936,4,True,False,8,36,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,13.338502653061225
7937,4,True,False,8,37,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,13.620132448979591
7938,4,True,False,8,38,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,13.90176224489796
7939,4,True,False,8,39,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,14.183392040816328
7940,4,True,False,8,40,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,14.465021836734694
7941,4,True,False,8,41,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,14.74665163265306
7942,4,True,False,8,42,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,15.028281428571429
7943,4,True,False,8,43,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,15.309911224489797
7944,4,True,False,8,44,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,15.591541020408163
7945,4,True,False,8,45,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,15.87317081632653
