,plan_repeat,plan_done,plan_skipped,plan_xgrid,plan_ygrid,log,reboot,fault,c,injector_P,injector_D,stage_x,stage_y
74,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,360,5.400000000000003e-07,9.44997,9.95999
75,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,360,5.500000000000003e-07,9.44997,9.95999
76,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,360,5.600000000000004e-07,9.44997,9.95999
77,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,360,5.700000000000004e-07,9.44997,9.95999
78,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,360,5.800000000000004e-07,9.44997,9.95999
79,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,360,5.900000000000004e-07,9.44997,9.95999
80,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,370,2e-07,9.44997,9.95999
81,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,370,2.1e-07,9.44997,9.95999
82,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,370,2.2e-07,9.44997,9.95999
83,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55,False,True,0x69c4e0d86a7b0430d8cdb78070b4c55,370,2.3000000000000002e-07,9.44997,9.95999
84,1,True,False,0,0,FlagBegin;0x027e58a67c66776b08a5862848da0c86;FlagEnd,False,True,0x027e58a67c66776b08a5862848da0c86,370,2.4000000000000003e-07,9.44997,9.95999
85,1,True,False,0,0,FlagBegin;0x2e845b3ac1663c2a40ff15ae21f16650;FlagEnd,False,True,0x2e845b3ac1663c2a40ff15ae21f16650,370,2.5000000000000004e-07,9.44997,9.95999
86,1,True,False,0,0,FlagBegin;0x619ff0c39cbc253f80946e46f56ccfee;FlagEnd,False,True,0x619ff0c39cbc253f80946e46f56ccfee,370,2.6000000000000005e-07,9.44997,9.95999
87,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,370,2.7000000000000006e-07,9.44997,9.95999
88,1,True,False,0,0,FlagBegin;0x9d75018d933bcf7f8e4297960a91347f;FlagEnd,False,True,0x9d75018d933bcf7f8e4297960a91347f,370,2.8000000000000007e-07,9.44997,9.95999
89,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,370,2.900000000000001e-07,9.44997,9.95999
90,1,True,False,0,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,370,3.000000000000001e-07,9.44997,9.95999
91,1,True,False,0,0,FlagBegin;0x77c4e0af6a7b85f9d832b9802f24c55a;FlagEnd,False,True,0x77c4e0af6a7b85f9d832b9802f24c55a,370,3.100000000000001e-07,9.44997,9.95999
92,1,True,False,0,0,FlagBegin;0x69c4b2306acedf30b4f0b78069b4c54a;FlagEnd,False,True,0x69c4b2306acedf30b4f0b78069b4c54a,370,3.200000000000001e-07,9.44997,9.95999
93,1,True,False,0,0,FlagBegin;0x564cbc0b693e819b853a2f12d2148ee4;FlagEnd,False,True,0x564cbc0b693e819b853a2f12d2148ee4,370,3.300000000000001e-07,9.44997,9.95999
94,1,True,False,0,0,FlagBegin;0xbccd3bda2a40346b96250182128923bd;FlagEnd,False,True,0xbccd3bda2a40346b96250182128923bd,370,3.4000000000000013e-07,9.44997,9.95999
